date_30,rf_gross_TTM30,date_60,rf_gross_TTM60,date_90,rf_gross_TTM90,date_180,rf_gross_TTM180
20040915,1.0014379079161,20040915,1.00337924722867,20040915,1.00504364113579,20040915,1.01082883617692
20041020,1.00153292922001,20041020,1.00323470127143,20041020,1.00543696876701,20041020,1.00911085624146
20041117,1.00171590872038,20041117,1.00411049781513,20041117,1.00823293886508,20041117,1.01559976321455
20041222,1.00195225012359,20041222,1.00401622897238,20041222,1.0061946434399,20041222,1.01384278980445
20050119,1.00200451549548,20050119,1.00421348616869,20050124,1.00617041115426,20050119,1.01211266758328
20050216,1.00209163105509,20050216,1.00440026819339,20050216,1.01004867500991,20050216,1.01887754569607
20050316,1.00227945069954,20050316,1.00536110015966,20050316,1.0079886377501,20050316,1.01727010039145
20050420,1.00241249069692,20050420,1.00495644392499,20050420,1.00758284535453,20050420,1.01379221126348
20050518,1.00249064491792,20050518,1.00513402147081,20050523,1.00820292134141,20050518,1.02111453818989
20050615,1.00260449294427,20050615,1.00606734323712,20050615,1.00895348890161,20050615,1.01884064786262
20050720,1.0027604467401,20050720,1.00569608359986,20050725,1.00909507117161,20050720,1.01597325946798
20050817,1.00288929813623,20050817,1.00673458553636,20050822,1.00948376752805,20050817,1.02441940033856
20050921,1.00308676910181,20050921,1.00625739869442,20050921,1.00948048474432,20050921,1.02031062437568
20051019,1.00321625897782,20051019,1.00655081583503,20051025,1.01027603986748,20051019,1.01800926398006
20051116,1.00333172995963,20051116,1.00769454901352,20051128,1.00988056452962,20051116,1.02743975969311
20051221,1.00352597580324,20051221,1.00713406785458,20051221,1.01082991012964,20051221,1.02323600454381
20060118,1.00360605407583,20060118,1.00725988043564,20060130,1.01055202621541,20060118,1.01941263581928
20060215,1.00368571633533,20060215,1.0084656469373,20060215,1.01636063572746,20060215,1.02952526113087
20060322,1.00387627203805,20060322,1.00780263640492,20060322,1.01178307129906,20060322,1.02499572157292
20060419,1.00396436507071,20060419,1.00797849118318,20060427,1.01204245893249,20060419,1.0213909638472
20060517,1.00409123756747,20060517,1.00921014674922,20060517,1.01757027886013,20060517,1.03139978669047
20060621,1.00427255566122,20060621,1.00858888605682,20060621,1.01295293209172,20060621,1.02740556752609
20060719,1.00433485088272,20060719,1.00865204537454,20060725,1.01317424769937,20060719,1.02294213019333
20060816,1.00429250554426,20060816,1.0095744274537,20060816,1.01814778999056,20060816,1.03210816076746
20060920,1.00429382100987,20060920,1.00851239583783,20060920,1.01274451336258,20060920,1.026527892528
20061018,1.00428523402644,20061018,1.00848355690075,20061026,1.01257084590103,20061018,1.02224574343549
20061115,1.00428480488808,20061115,1.00953834681406,20061127,1.01190821897018,20061115,1.03158845642303
20061220,1.00431056523543,20061220,1.00848945385408,20061220,1.01267426523595,20061220,1.02622750261841
20070117,1.00428472396324,20070117,1.00846434477217,20070125,1.01253327964804,20070117,1.02217601240709
20070214,1.00430391202308,20070214,1.00954905120465,20070222,1.0125240906423,20070214,1.03274548434696
20070321,1.00428594508068,20070321,1.00844456813997,20070321,1.01258573924656,20070321,1.02682666773579
20070418,1.00428615667923,20070418,1.00845765516251,20070423,1.01293932963458,20070418,1.0230297458563
20070516,1.00428553925502,20070516,1.00950456349585,20070522,1.01281058855792,20070516,1.03236629721659
20070620,1.00428641189589,20070620,1.00847143363399,20070620,1.01372183032491,20070620,1.02751785249782
20070718,1.00428622131124,20070718,1.00951007152582,20070723,1.01295526733984,20070718,1.02315524557434
20070822,1.00441963889801,20070822,1.00848496355038,20070822,1.01247199513015,20070822,1.02921897715588
20070919,1.00413562584187,20070919,1.00809389166573,20070919,1.01285297287393,20070919,1.02429309217769
20071017,1.00403834894075,20071017,1.00894491634161,20071022,1.0117132580828,20071017,1.02096138712102
20071121,1.00385133588632,20071121,1.00759077383942,20071121,1.0111578730354,20071121,1.02587448470006
20071219,1.00399155113716,20071219,1.00765109272046,20071219,1.01188867404673,20071219,1.02265979541851
20080116,1.00323861660266,20080116,1.00678060667601,20080116,1.00968261040363,20080116,1.01558468229666
20080219,1.00250578498418,20080219,1.0048708981839,20080219,1.00707552813475,20080219,1.01623978191599
20080319,1.00209830294925,20080319,1.00401000174548,20080319,1.0062127757624,20080319,1.01149863457714
20080416,1.00220121182975,20080416,1.00490806804767,20080416,1.00702460404639,20080416,1.0116531504875
20080521,1.00193326069666,20080521,1.00396508430318,20080521,1.00599794953937,20080521,1.01563616235641
20080618,1.00201930129144,20080618,1.00426304971598,20080618,1.0072470365159,20080618,1.0156316385423
20080716,1.00197712979721,20080716,1.00469194130135,20080716,1.00692541607628,20080716,1.012155639006
20080820,1.00199179019051,20080820,1.00420034162686,20080820,1.00707784608867,20080820,1.01682766861034
20080917,1.00254182604537,20080917,1.00594538891346,20080917,1.00849723391486,20080917,1.016030176472
20081022,1.00252484147406,20081022,1.00465077710033,20081022,1.00657470069942,20081022,1.01054389811118
20081119,1.00111789376896,20081119,1.00264539569421,20081119,1.004579669617,20081119,1.01080467948449
20081217,1.00047645026736,20081217,1.0017652902113,20081217,1.00278180430743,20081217,1.00592816763076
20090121,1.00029114590703,20090121,1.0012153171016,20090121,1.00208066468866,20090121,1.00399897886624
20090218,1.00039080120298,20090218,1.00142291924626,20090218,1.00243267413821,20090218,1.00712812581727
20090318,1.00043732277503,20090318,1.00135296062849,20090318,1.00257894041796,20090318,1.00559398579938
20090415,1.00035879390422,20090415,1.00134954186012,20090415,1.00215267068867,20090415,1.00397756079038
20090520,1.0002515260119,20090520,1.00072473597453,20090520,1.00131954553373,20090520,1.00366266832082
20090617,1.00025522593603,20090617,1.00090932001465,20090617,1.00146727193805,20090617,1.00369756793808
20090722,1.00023098349548,20090722,1.00062034104351,20090722,1.00102682001281,20090722,1.00216597525386
20090819,1.00021823763033,20090819,1.0005445504173,20090819,1.00102853549999,20090819,1.00307265661546
20090916,1.00019635876045,20090916,1.00053522645461,20090916,1.00085944155931,20090916,1.00217251694661
20091021,1.00019654308995,20091021,1.00044480120471,20091021,1.00071782498475,20091021,1.00150814764755
20091118,1.00019000053236,20091118,1.00039968059309,20091118,1.00068207295222,20091118,1.00192543825935
20091216,1.00018636037986,20091216,1.00046529290402,20091216,1.00072741313651,20091216,1.00190730697919
20100120,1.00018463788203,20100120,1.00038750377018,20100120,1.00060383387032,20100120,1.00118481800516
20100217,1.00018489425874,20100217,1.00039774954244,20100217,1.00070611756336,20100217,1.00215635869893
20100317,1.00019118113177,20100317,1.00048024490886,20100317,1.00074173366314,20100317,1.00177749797787
20100421,1.00021076682562,20100421,1.00048614184686,20100421,1.00077500113678,20100421,1.00154370049921
20100519,1.0002757950178,20100519,1.00073355167526,20100519,1.00140473900658,20100519,1.00403561167403
20100616,1.00028020760527,20100616,1.00085155773553,20100616,1.00137832318063,20100616,1.00331176413511
20100721,1.00026677800456,20100721,1.00063752135742,20100721,1.00100405164834,20100721,1.00188800163026
20100818,1.00021482880782,20100818,1.00048187279061,20100818,1.00084902141638,20100818,1.0022254056045
20100915,1.00020702263171,20100915,1.00051702660633,20100915,1.00079819640108,20100915,1.00185094470244
20101020,1.0002066324982,20101020,1.00045287009044,20101020,1.00079905082849,20101020,1.00139149239473
20101117,1.00020463892003,20101117,1.00051455018291,20101117,1.00077986323474,20101117,1.00213573619475
20101222,1.00021034632223,20101222,1.00046643165737,20101222,1.00075160326728,20101222,1.00186545888331
20110119,1.00020974128128,20110119,1.00045970236422,20110119,1.00072945873589,20110119,1.00140977299581
20110216,1.00021271883671,20110216,1.00046529670618,20110216,1.00081198778119,20110216,1.00228086886572
20110316,1.00020346665624,20110316,1.00052441324522,20110316,1.00080917233533,20110316,1.00183073217507
20110420,1.00017040262647,20110420,1.00039106101742,20110420,1.00062218881385,20110420,1.00120808963528
20110518,1.00015591663045,20110518,1.00036472501107,20110518,1.00065076817912,20110518,1.00179776149031
20110615,1.00014842268479,20110615,1.00042892853498,20110615,1.00068951384812,20110615,1.00171796961478
20110720,1.00014948666086,20110720,1.0003738826587,20110720,1.00073883602219,20110720,1.00142135201552
20110817,1.00016914043317,20110817,1.00051385791323,20110817,1.00084180642873,20110817,1.00237487888933
20110921,1.00018757256409,20110921,1.00050284019077,20110921,1.00084360134199,20110921,1.00211625373889
20111019,1.00019468899171,20111019,1.00054061311816,20111019,1.00106196640719,20111019,1.00194326872407
20111116,1.00020072581568,20111116,1.00077826659064,20111116,1.00132074597903,20111116,1.00384816630676
20111221,1.00023327590714,20111221,1.00071111777258,20111221,1.00120463391686,20111221,1.00294818971249
20120118,1.00022287202367,20120118,1.00061748102011,20120118,1.00113180404256,20120118,1.0019366037553
20120215,1.00019812617234,20120215,1.0006247113092,20120215,1.00097924262395,20120215,1.00267220829346
20120321,1.00019429588866,20120321,1.00056978680307,20120321,1.00094179508941,20120321,1.00231094493218
20120418,1.00019324427318,20120418,1.00054262872981,20120418,1.00102093853324,20120418,1.00188627740367
20120516,1.00019063304166,20120516,1.00064720996061,20120516,1.00106092175667,20120521,1.00241716945971
20120620,1.00019804474624,20120620,1.00055575726903,20120620,1.0010040511547,20120620,1.00219828310428
20120718,1.00019741856863,20120718,1.00060764931121,20120718,1.00092694554128,20120718,1.0016456057202
20120822,1.00018906841717,20120822,1.00051525162413,20120822,1.0008306360984,20120822,1.00218493838726
20120919,1.0001757520829,20120919,1.00043080565152,20120919,1.00076224984824,20120919,1.00154745009455
