R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT,A5,R5,A6,R6
1.17073333,0.97903001,-0.10450162,0.18636347,-0.43002414,0.10673996,0.12496403,1.7833548,2.08783291,2.3074487,2.7014071,3.1296849,3.66402644,3.97648065,4.65539845
1.1708,0.97902304,-0.1044892,0.1863348,-0.42993443,0.10672803,0.12495717,1.7832925,2.08787886,2.30732222,2.70141285,3.12950823,3.66402824,3.97625439,4.65539864
1.17086667,0.97901608,-0.10447678,0.18630614,-0.42984474,0.1067161,0.12495032,1.7832302,2.08792481,2.30719576,2.70141861,3.12933158,3.66403004,3.97602815,4.65539883
1.17093333,0.97900911,-0.10446436,0.18627749,-0.42975508,0.10670417,0.12494347,1.78316792,2.08797076,2.30706931,2.70142436,3.12915496,3.66403184,3.97580194,4.65539902
1.171,0.97900215,-0.10445194,0.18624884,-0.42966544,0.10669225,0.12493662,1.78310564,2.08801671,2.30694288,2.70143011,3.12897835,3.66403364,3.97557576,4.65539921
1.17106667,0.97899518,-0.10443952,0.1862202,-0.42957582,0.10668032,0.12492977,1.78304338,2.08806267,2.30681646,2.70143586,3.12880176,3.66403544,3.9753496,4.6553994
1.17113333,0.97898822,-0.10442711,0.18619156,-0.42948623,0.1066684,0.12492292,1.78298112,2.08810863,2.30669005,2.70144161,3.12862519,3.66403725,3.97512346,4.65539959
1.1712,0.97898126,-0.1044147,0.18616294,-0.42939666,0.10665648,0.12491607,1.78291888,2.08815459,2.30656366,2.70144736,3.12844864,3.66403905,3.97489736,4.65539978
1.17126667,0.9789743,-0.10440229,0.18613431,-0.42930712,0.10664456,0.12490922,1.78285664,2.08820055,2.30643729,2.70145312,3.12827211,3.66404085,3.97467128,4.65539998
1.17133333,0.97896734,-0.10438988,0.18610569,-0.4292176,0.10663265,0.12490237,1.78279441,2.08824652,2.30631093,2.70145887,3.1280956,3.66404265,3.97444522,4.65540017
1.1714,0.97896038,-0.10437747,0.18607708,-0.4291281,0.10662073,0.12489553,1.7827322,2.0882925,2.30618458,2.70146462,3.12791912,3.66404445,3.97421919,4.65540036
1.17146667,0.97895342,-0.10436507,0.18604848,-0.42903863,0.10660882,0.12488868,1.78266999,2.08833847,2.30605825,2.70147037,3.12774265,3.66404626,3.97399319,4.65540055
1.17153333,0.97894647,-0.10435267,0.18601988,-0.42894918,0.10659691,0.12488183,1.78260779,2.08838445,2.30593194,2.70147613,3.1275662,3.66404806,3.97376721,4.65540074
1.1716,0.97893951,-0.10434027,0.18599128,-0.42885975,0.106585,0.12487499,1.78254561,2.08843043,2.30580564,2.70148188,3.12738978,3.66404986,3.97354126,4.65540094
