date_TTM_30,exdate_TTM_30,kappa_TTM_30,date_TTM_60,exdate_TTM_60,kappa_TTM_60,date_TTM_90,exdate_TTM_90,kappa_TTM_90,date_TTM_180,exdate_TTM_180,kappa_TTM_180
20060323,20060421,0.855318498955209,20060321,20060519,0.984402989029072,20060724,20061020,0.898406157088279,20201221,20210618,0.907202538428799
20060420,20060519,0.855365277128732,20060418,20060616,0.985164976962513,20060821,20061117,0.89896559355669,20210119,20210716,0.907617522932305
20060518,20060616,0.853121055249459,20060523,20060721,0.984654620702033,20060918,20061215,0.898845282130602,20210222,20210820,0.90943607386703
20060622,20060721,0.853889566076485,20060620,20060818,0.984996226961327,20061023,20070119,0.899309799717435,20210322,20210917,0.903626586256801
20060720,20060818,0.854553551068632,20060718,20060915,0.984539792183851,20061120,20070216,0.899940934302682,20210419,20211015,0.901968975180548
20060817,20060915,0.854164587474636,20060822,20061020,0.985037912215316,20061218,20070316,0.899402949141435,20210524,20211119,0.902326881531173
20060921,20061020,0.854859369036932,20060919,20061117,0.984925378189416,20070122,20070420,0.899889336000082,20210621,20211217,0.899833901166299
20061019,20061117,0.854228860923636,20061017,20061215,0.984921505077479,20070220,20070518,0.900105902478051,20210726,20220121,0.902945218832963
20061116,20061215,0.85504628095821,20061121,20070119,0.985657304789529,20070319,20070615,0.899176156096973,20210823,20220218,0.904902404999201
20061221,20070119,0.855484473589302,20061219,20070216,0.985266712010813,20070423,20070720,0.899409495886439,20210920,20220318,0.909485484602764
20070118,20070216,0.855651159153316,20070116,20070316,0.985628581186058,20070521,20070817,0.89789725742125,20211018,20220414,0.904920983799446
20070215,20070316,0.85456073476454,20070220,20070420,0.985592402498562,20070625,20070921,0.89853145241462,20211122,20220520,0.909416181766794
20070322,20070420,0.853828575859372,20070320,20070518,0.985709805551128,20070723,20071019,0.89743483620351,20211220,20220617,0.916000574926668
20070419,20070518,0.854601619980956,20070417,20070615,0.985729753060686,20070820,20071116,0.887814909320593,20220118,20220715,0.911985914780606
20070517,20070615,0.854302269854295,20070522,20070720,0.985064620798183,20070924,20071221,0.896249578786726,20220222,20220819,0.918673831733676
20070621,20070720,0.854513288851442,20070619,20070817,0.985342323215539,20071022,20080118,0.893077654355758,20220321,20220916,0.918000120146489
20070719,20070817,0.854382858956387,20070724,20070921,0.984207269551696,20071119,20080215,0.892705860272635,20220425,20221021,0.927845359339517
20070823,20070921,0.853293733734055,20070821,20071019,0.983325342973475,20071224,20080320,0.895833594913578,20220523,20221118,0.92811155404488
20070920,20071019,0.853276069535037,20070918,20071116,0.984076907221637,20080122,20080418,0.889021287519782,20220621,20221216,0.925348749496387
20071018,20071116,0.853367849215191,20071023,20071221,0.982601831856087,20080219,20080516,0.894130083911019,20220725,20230120,0.923604701403767
20071123,20071221,0.85163810747936,20071120,20080118,0.981843909699135,20080324,20080620,0.891363352786724,20220822,20230217,0.930557858002666
20071220,20080118,0.853333781825604,20071218,20080215,0.982330259639722,20080421,20080718,0.888698664683174,20220919,20230317,0.929047140920196
20080117,20080215,0.850134300754506,20080122,20080320,0.979444129925132,20080519,20080815,0.88960523158035,20221024,20230421,0.927189549013984
20080221,20080320,0.852669590221691,20080219,20080418,0.982389543572758,20080623,20080919,0.888089721206517,20221121,20230519,0.930503281745135
20080320,20080418,0.851902946494244,20080318,20080516,0.980940968630201,20080721,20081017,0.887154771642368,20221219,20230616,0.934026236900055
20080417,20080516,0.85109053474793,20080422,20080620,0.977878455501899,20080825,20081121,0.88756576041026,20230123,20230721,0.931203221532644
