Simulation,LL_Null,LL_Alternative,TestStatistic,PIT_Sup_Null,PIT_Sup_Alternative,PIT_Pairwise_Delta,KS_Null,KS_Alternative,ExitFlag_Null,ExitFlag_Alternative
78,641.912926380876,642.707638718059,1.58942467436623,0.0183098591549296,0.0183098591549296,0.0112676056338028,0.0386521981067629,0.0421843816449101,2,2
79,607.895945393147,610.216220270221,4.64054975414706,0.0323943661971831,0.0211267605633803,0.0140845070422535,0.0295819807789485,0.0302737881811598,1,2
80,627.411709780899,629.918396638401,5.01337371500244,0.0380281690140845,0.0408450704225352,0.0140845070422535,0.0356470504312394,0.0302860998533038,2,2
81,628.945469682905,630.131913500174,2.3728876345383,0.0154929577464789,0.0267605633802817,0.0140845070422535,0.0330170039480207,0.0336828686976951,2,2
82,605.476750888112,606.527291774186,2.10108177214875,0.0352112676056338,0.0295774647887324,0.00845070422535212,0.0529032139994229,0.0388822089533815,2,2
83,618.242035925592,619.357542531963,2.2310132127418,0.023943661971831,0.0154929577464789,0.0197183098591549,0.0421793088913341,0.0405968810110568,2,2
84,624.051353109541,627.650987289069,7.19926835905426,0.0267605633802817,0.023943661971831,0.0197183098591549,0.0391269634732718,0.0486190812250218,2,2
85,615.506007067294,615.734271925152,0.45652971571576,0.0464788732394366,0.0464788732394366,0.00281690140845071,0.031778662580922,0.0321962936756962,2,2
86,629.997417305741,632.05281950379,4.11080439609736,0.0352112676056338,0.0323943661971831,0.0084507042253521,0.0432719313813361,0.0377564843306502,1,2
87,610.313257433329,612.004439821904,3.38236477714963,0.0352112676056338,0.0352112676056338,0.0253521126760563,0.0551453639184464,0.0352081697723206,2,2
88,622.49642365306,625.07363779831,5.15442829050107,0.0295774647887324,0.0464788732394366,0.0253521126760563,0.0376612737772425,0.0361814551173919,2,2
89,631.505393910799,631.707183790642,0.403579759686181,0.0183098591549296,0.0126760563380282,0.00845070422535212,0.0270227568178634,0.0307000215925338,2,2
90,637.314373790132,638.627144829631,2.62554207899711,0.0154929577464789,0.00985915492957747,0.0112676056338028,0.0317063151590619,0.0230414648928365,2,2
91,609.595527488066,611.01284122228,2.83462746842724,0.0267605633802817,0.0211267605633803,0.0169014084507042,0.0468977728166738,0.0311915803844243,2,2
92,617.01906914539,620.790048471573,7.54195865236647,0.0436619718309859,0.0380281690140845,0.0169014084507042,0.0578260894614475,0.0354479016571199,1,2
93,608.235238948339,610.844004178856,5.21753046103368,0.0295774647887324,0.0154929577464789,0.028169014084507,0.037637379433259,0.0264689669950839,1,2
94,620.101004722012,620.309684789007,0.41736013398895,0.0267605633802817,0.0211267605633803,0.00563380281690141,0.0368790116439599,0.0410485103735113,1,2
95,621.534862962991,624.188664035975,5.30760214596808,0.0352112676056338,0.0267605633802817,0.0112676056338028,0.042584246638675,0.0260885380203106,2,2
96,623.152127018654,626.237817611409,6.17138118550906,0.0352112676056338,0.0323943661971831,0.0197183098591549,0.0541467617579174,0.0399958729292772,2,2
97,641.452946569787,642.68242444157,2.45895574356632,0.0295774647887324,0.0267605633802817,0.00845070422535212,0.0356040075708872,0.0352586462723994,2,2
98,616.011559117381,616.084761963019,0.146405691276414,0.0211267605633803,0.0211267605633803,0.00563380281690141,0.0335813063715285,0.0311094271508723,2,2
99,628.791355540625,630.03370625025,2.48470141925009,0.0183098591549296,0.0154929577464789,0.00845070422535212,0.0264989649126932,0.0296521993896969,2,2
100,625.608385084241,626.239289622087,1.26180907569051,0.023943661971831,0.023943661971831,0.00845070422535212,0.0363033710770702,0.0433254048421653,2,2
101,632.834821307443,633.368742240207,1.06784186552682,0.023943661971831,0.023943661971831,0.0112676056338028,0.0348937241382983,0.0302278284611895,2,2
102,615.532958212531,615.893935525629,0.721954626194929,0.023943661971831,0.0211267605633803,0.00845070422535212,0.0345852075094556,0.0314227144466214,2,2
103,622.261281588146,625.257632330519,5.99270148474739,0.023943661971831,0.0295774647887324,0.0309859154929577,0.0364579641487218,0.0355643347949918,2,2
104,627.928375867807,629.938030911753,4.01931008789279,0.0267605633802817,0.0295774647887324,0.0140845070422535,0.0445247644899819,0.0367607169041488,2,2
105,597.64870899917,598.814562518405,2.33170703847009,0.0183098591549296,0.0295774647887324,0.0112676056338028,0.0321213722668981,0.030121194239504,2,2
106,625.266090658708,629.660875580802,8.78956984418824,0.0492957746478873,0.0408450704225352,0.0169014084507042,0.0584727000936406,0.0441307205927538,2,2
107,595.809362657923,595.888733386696,0.158741457547421,0.0295774647887324,0.0267605633802817,0.00281690140845071,0.0288119594898346,0.0280587989760261,2,2
108,652.545000200692,653.283045965654,1.47609152992436,0.0154929577464789,0.0211267605633803,0.0309859154929577,0.0388376778737768,0.0290024744113445,1,2
109,625.986371159304,626.47827804573,0.98381377285159,0.023943661971831,0.0211267605633803,0.0112676056338028,0.0329203906449957,0.0290019840640044,2,2
110,603.076903872714,603.290743994489,0.427680243550412,0.0464788732394366,0.0408450704225352,0.00845070422535212,0.0592313254373071,0.0583804312404544,2,2
111,614.866596820343,617.996484166798,6.2597746929091,0.0352112676056338,0.0267605633802817,0.0169014084507042,0.0402445605395646,0.027169787512901,2,2
112,605.915895640609,609.423134553244,7.01447782526884,0.00985915492957747,0.0126760563380282,0.0169014084507042,0.0199764698325823,0.0190881465313656,2,2
113,642.032613303862,642.232035632431,0.398844657136578,0.0211267605633803,0.0183098591549296,0.00563380281690141,0.0269690035211587,0.0238758901097071,2,1
114,621.498654642468,624.292666119294,5.5880229536524,0.0126760563380282,0.023943661971831,0.0197183098591549,0.0493416648080946,0.0233635621005777,2,2
115,620.239533460644,622.472275886149,4.4654848510113,0.0183098591549296,0.023943661971831,0.0225352112676056,0.0438360407902894,0.034480701282692,2,2
116,636.094420051526,642.060232041397,11.9316239797413,0.0323943661971831,0.0267605633802817,0.028169014084507,0.0485702642956316,0.0218613921662349,1,2
117,638.6363910219,638.831395258299,0.390008472797263,0.0267605633802817,0.023943661971831,0.0056338028169014,0.0409995570169531,0.0347299592383524,2,2
118,640.978001496669,640.989547067661,0.0230911419851054,0.0352112676056338,0.0352112676056338,0.00281690140845071,0.0242309764106485,0.0244723931995721,2,2
119,620.395596630635,622.835152395148,4.8791115290262,0.0408450704225352,0.0380281690140845,0.0197183098591549,0.0569541576613006,0.0344259676663052,2,2
120,633.653126151591,635.249130618776,3.1920089343696,0.0295774647887324,0.0295774647887324,0.0169014084507042,0.0316280155963776,0.0251389212413064,2,2
121,617.763646383034,619.2245208193,2.92174887253213,0.0211267605633803,0.0183098591549296,0.0112676056338028,0.0441168753503375,0.0301207826007178,2,2
122,642.081588553414,642.518934629556,0.87469215228316,0.0154929577464789,0.0126760563380282,0.00845070422535212,0.0356742370931336,0.0307381404044471,2,2
123,621.286193397554,624.063102435465,5.55381807582216,0.00985915492957747,0.0183098591549296,0.0112676056338028,0.0164459522821985,0.0225341695737366,2,2
124,653.95589532055,657.10780884062,6.30382704014073,0.0323943661971831,0.023943661971831,0.0253521126760563,0.0409734663426801,0.0314016309766986,1,2
125,644.775977163412,645.63343322858,1.7149121303346,0.0295774647887324,0.0267605633802817,0.0112676056338028,0.0409819041551247,0.0416029639911926,2,2
